SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,ModifiedDate
SO68657,NULL,10-4030-014896,14896,NULL,4,16148,16148,1,974,336354Vi4870,NULL,889.47,71.1576,22.2368,982.8644,NULL,04/27/08,,,,,,,
SO68658,NULL,10-4030-014913,14913,NULL,4,19140,19140,1,14834,1236357Vi76846,NULL,834.46,66.7568,20.8615,922.0783,NULL,04/27/08,,,,,,,
SO68659,NULL,10-4030-018236,18236,NULL,6,27966,27966,1,18853,236561Vi97950,11636,2414.99,193.1992,60.3748,2668.564,NULL,04/27/08,,,,,,,
SO68660,NULL,10-4030-011251,11251,NULL,6,22481,22481,1,13770,836566Vi71379,11636,2318.96,185.5168,57.974,2562.4508,NULL,04/27/08,,,,,,,
SO68661,NULL,10-4030-013038,13038,NULL,9,21616,21616,1,7947,538203Vi41100,11634,2294.99,183.5992,57.3748,2535.964,NULL,04/27/08,,,,,,,
SO68662,NULL,10-4030-015183,15183,NULL,9,17488,17488,1,7889,538221Vi40845,11634,2297.28,183.7824,57.432,2538.4944,NULL,04/27/08,,,,,,,
SO68663,NULL,10-4030-026140,26140,NULL,9,22068,22068,1,924,1238367Vi4668,11634,1134.47,90.7576,28.3618,1253.5894,NULL,04/27/08,,,,,,,
SO68664,NULL,10-4030-017924,17924,NULL,9,12598,12598,1,9943,538404Vi51145,11634,1155.48,92.4384,28.887,1276.8054,NULL,04/27/08,,,,,,,
SO68665,NULL,10-4030-024283,24283,NULL,9,14867,14867,1,17922,238718Vi92956,11634,1764.96,141.1968,44.124,1950.2808,NULL,04/27/08,,,,,,,
SO68666,NULL,10-4030-025560,25560,NULL,9,15166,15166,1,4430,1038764Vi23275,11634,588.96,47.1168,14.724,650.8008,NULL,04/27/08,,,,,,,
SO68667,NULL,10-4030-021891,21891,NULL,9,21305,21305,1,3674,739203Vi19409,11634,2478.34,198.2672,61.9585,2738.5657,NULL,04/27/08,,,,,,,
SO68668,NULL,10-4030-025344,25344,NULL,1,25959,25959,1,9854,340174Vi50778,NULL,801.83,64.1464,20.0458,886.0222,NULL,04/27/08,,,,,,,
SO68669,NULL,10-4030-015363,15363,NULL,6,15676,15676,1,10118,940247Vi52148,11636,2384.07,190.7256,59.6018,2634.3974,NULL,04/27/08,,,,,,,
